method,n,coverage_mean,coverage_se,nmse_mean,nmse_se,scaled_remainder_mean,scaled_remainder_se
ema_05,4999,0.466,0.028857714337204132,43.96025247358069,8.321797255283435,20.586692695233936,1.8468065563708003
ema_05,5402,0.474,0.028199147490516784,40.76816260836523,7.6913666871278945,19.82019655833471,1.7644739125324933
ema_05,5837,0.48100000000000004,0.02841592241094148,37.89099726449398,7.130834890217285,19.135961138652902,1.683907532284542
ema_05,6306,0.484,0.02830997254422098,35.23804094430934,6.62044794193407,18.494180823200534,1.6248674979444702
ema_05,6814,0.494,0.028878708384894886,32.7995594551649,6.150483330910835,17.772609044450892,1.5547559914559588
ema_05,7362,0.491,0.028216156987646547,30.541365213747067,5.722195908178795,17.16378375293189,1.492729779618086
ema_05,7955,0.496,0.028245675453389,28.417390603415328,5.327457125902205,16.709294178761247,1.4307733460762477
ema_05,8595,0.51,0.02862152894574151,26.483507989071672,4.9642132059141835,16.108335055622828,1.3787601994622012
ema_05,9287,0.514,0.028033890024379237,24.691660403778446,4.605323533203595,15.55621680853412,1.3272121696342367
ema_05,10034,0.524,0.028181231665451,22.94522601305493,4.256321582999172,15.165598502166102,1.2787163641493218
ema_05,10841,0.529,0.02879025508533726,21.350615418607696,3.9407072566274706,14.620983900858194,1.2289965457963097
ema_05,11714,0.539,0.029020891116782077,19.904208692209558,3.650163146262188,14.212608805003104,1.1761384689050725
ema_05,12657,0.546,0.028084288716776727,18.564804444135532,3.3930481555810545,13.8199623031841,1.1237117387025504
ema_05,13675,0.555,0.027684185763972562,17.323082858152443,3.154010112418269,13.401267506907821,1.0757406554633984
ema_05,14776,0.569,0.027695859005645702,16.128799395344153,2.9338110537059157,13.060503772600427,1.0346616585348474
ema_05,15965,0.5760000000000001,0.027009912134906205,14.993128556922589,2.722870828745548,12.67726043220091,0.9991262918928194
ema_05,17249,0.5870000000000001,0.027029912349398427,13.941211855280388,2.5234975596064286,12.265399252150985,0.9555620799266507
ema_05,18637,0.605,0.026414527683213885,12.982051406765613,2.334185714533337,11.72792542675513,0.935925443476885
ema_05,20137,0.607,0.02590795673576406,12.112824225293227,2.1543746369650574,11.360346195389491,0.8802390695600257
ema_05,21758,0.608,0.024646183141296817,11.314133102466267,1.9845304326125794,10.989124023341283,0.8360689865172437
ema_05,23509,0.616,0.0252150347966839,10.625296261072956,1.84536792308814,10.754736072623565,0.7929591186939227
ema_05,25401,0.628,0.025068794235950893,9.968364669782762,1.7197644419865088,10.45988376062822,0.7575329449396109
ema_05,27445,0.63,0.024350139484801577,9.393396725390566,1.5957299703663521,10.096989508390472,0.7261082463460988
ema_05,29653,0.638,0.024195333050283506,8.850539484106617,1.4774723557173894,9.846872840447825,0.693810801757919
ema_05,32040,0.6459999999999999,0.024222036881878264,8.35077782531878,1.3699242338270978,9.640974947041054,0.6681381530653704
